"population","population_census","population_dis","kindergarten","primary_school","secondary_school","academy","university","hospital","laundry","music_school","doctors"
"""4050""","""4740""","""4045""","""4""",,,,,,,,
"""585""","""865""","""585""",,,,,,,,,
"""4300""","""5615""","""4285""","""2""","""1""",,,,,,,"""7"""
"""2330""","""2050""","""2330""","""1""",,,,,,,,"""12"""
"""1415""","""2135""","""1415""",,,,,,,,,
"""980""","""1545""","""980""","""1""",,"""1""",,,,,,
"""1335""","""1845""","""1335""",,,,,,,,,"""1"""
"""5410""","""6890""","""5400""","""2""","""1""","""2""",,,,,,"""2"""
"""1525""","""1810""","""1520""","""2""",,,,,,,,
"""7595""","""7590""","""7580""","""4""","""2""",,,,,,,"""18"""
"""115""","""175""","""115""",,,,,,,,,
"""1300""","""1415""","""1295""",,,,,,,,,
"""520""","""850""","""515""",,,,,,,,,
"""2775""","""3200""","""2770""",,"""1""",,,,,,,
"""530""","""830""","""530""",,,,,,,,,
"""300""","""385""","""300""",,,,,,,,,
"""5545""","""7155""","""5535""","""5""","""1""","""1""",,,,,,"""1"""
"""615""","""610""","""615""","""2""",,,,,,,,"""1"""
"""2630""","""2810""","""2625""","""2""",,"""1""",,,,,,"""1"""
"""150""","""145""","""150""",,,,,,,,,"""1"""
"""685""","""695""","""685""",,,"""1""",,,,,,"""1"""
"""1080""","""1330""","""1075""",,,,,,,,,
"""3235""","""3735""","""3230""","""2""",,,,,,,,
"""780""","""735""","""780""",,,,,,,,,
"""555""","""595""","""555""",,,,,,,,,
"""2365""","""3170""","""2365""",,,,,,,,,"""1"""
"""75""","""95""","""75""",,,,,,,,,
"""1920""","""2030""","""1920""",,,,,,,,,
"""205""","""145""","""205""",,,,,,,,,
"""135""","""90""","""135""",,,,,,,,,
"""1630""","""2055""","""1630""",,,,,,,,,
"""405""","""290""","""405""",,,,,,,,,
"""505""","""550""","""505""",,,,,,,,,
"""1080""","""1480""","""1080""",,,,,,,,,"""1"""
"""885""","""1155""","""885""",,,,,,,,,
"""3240""","""4110""","""3240""","""3""",,"""1""",,,,,,"""3"""
"""3370""","""5020""","""3370""","""1""","""2""",,,,,,,"""2"""
"""1030""","""1535""","""1030""","""1""",,,,,,,,
"""630""","""690""","""630""",,,,,,,,,
"""2435""","""2770""","""2435""",,,,,,,,,"""1"""
"""1450""","""1825""","""1450""","""3""",,,,,,,,
"""4095""","""5185""","""4095""","""3""",,,,,,,,"""2"""
"""240""","""375""","""240""",,,,,,,,,
"""1320""","""1500""","""1320""","""1""",,,,,,,,
"""380""","""480""","""375""","""2""",,,,,,,,
"""1755""","""2435""","""1730""","""2""",,,,,,,,"""1"""
"""460""","""730""","""460""",,,,,,,,,
"""2295""","""2840""","""2270""","""2""",,,,,,,,"""1"""
"""575""","""575""","""570""","""1""",,,,,,,,"""1"""
"""1150""","""1330""","""1145""","""1""",,,,,,,,
"""40""","""60""","""40""",,,,,,,,,
"""430""","""210""","""435""",,,,,,,,,
"""1855""","""1985""","""1855""","""3""",,,,,,,,"""1"""
"""490""","""430""","""490""",,,,,,,,,"""1"""
"""2285""","""2425""","""2265""","""2""",,"""1""",,,,,,"""3"""
"""285""","""235""","""280""",,,,,,,,,
"""1810""","""1545""","""1790""","""1""",,,,,,,,"""1"""
"""35""","""25""","""35""",,,,,,,,,"""1"""
"""85""","""75""","""85""","""1""",,,,,,,,"""1"""
"""360""","""440""","""355""",,,,,,,,,
"""460""","""630""","""460""",,,,,,,,,
"""1505""","""1690""","""1505""","""1""",,,,,,,,"""1"""
"""485""","""450""","""485""","""1""",,,,,,,,"""1"""
"""200""","""155""","""200""",,,,,,,,,
"""95""","""105""","""95""",,,,,,,,,
"""310""","""330""","""310""",,,,,,,,,
"""235""","""265""","""235""",,,,,,,,,
"""530""","""515""","""530""",,,,,,,,,
"""530""","""830""","""530""",,,,,,,,,
"""1415""","""2135""","""1415""",,,,,,,,,
"""1335""","""1845""","""1335""",,,,,,,,,"""1"""
"""5410""","""6890""","""5400""","""2""","""1""","""2""",,,,,,"""2"""
"""2220""","""1665""","""2220""",,"""1""",,,,,,,"""9"""
"""6300""","""6105""","""6295""","""2""","""1""",,,,,,,"""19"""
"""1310""","""2010""","""1310""","""1""","""2""",,,,,,,"""1"""
"""1895""","""2300""","""1895""","""1""",,,,,,,,"""1"""
"""535""","""835""","""535""",,,,,,,,,
"""4470""","""6230""","""4470""","""4""","""2""",,,,,,,"""3"""
"""250""","""185""","""250""",,,,,,,,,
"""1740""","""1940""","""1740""","""3""",,,,,,,,
"""1045""","""1340""","""1045""","""1""",,,,,,,,
"""3545""","""4455""","""3545""","""3""","""1""","""1""",,,,,,"""3"""
"""430""","""500""","""430""","""2""",,,,,,,,
"""1295""","""1990""","""1295""","""2""",,"""1""",,,,,,
"""535""","""835""","""535""",,,,,,,,,
"""1895""","""2300""","""1895""","""1""",,,,,,,,"""1"""
